End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2013-01-05,9780722532935,The Alchemist,"Coelho, Paulo",201301,434,3013.68,6.944,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-01-05,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201301,443,2538.81,5.7309,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-01-12,9780722532935,The Alchemist,"Coelho, Paulo",201302,400,2807.82,7.0196,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-01-12,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201302,452,2625.74,5.8092,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-01-19,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201303,416,2322.36,5.5826,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-01-19,9780722532935,The Alchemist,"Coelho, Paulo",201303,388,2713.97,6.9948,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-01-26,9780722532935,The Alchemist,"Coelho, Paulo",201304,395,2742.17,6.9422,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-01-26,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201304,507,2972.1,5.8621,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-02-02,9780722532935,The Alchemist,"Coelho, Paulo",201305,405,2875.55,7.1001,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-02-02,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201305,613,3537.4,5.7706,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-02-09,9780722532935,The Alchemist,"Coelho, Paulo",201306,386,2643.2,6.8477,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-02-09,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201306,633,3632.25,5.7382,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-02-16,9780722532935,The Alchemist,"Coelho, Paulo",201307,445,3082.96,6.928,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-02-16,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201307,592,3361.86,5.6788,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-02-23,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201308,616,3529.8,5.7302,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-02-23,9780722532935,The Alchemist,"Coelho, Paulo",201308,334,2341.52,7.0105,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-03-02,9780722532935,The Alchemist,"Coelho, Paulo",201309,363,2567.13,7.072,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-03-02,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201309,699,4036.18,5.7742,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-03-09,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201310,698,4036.69,5.7832,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-03-09,9780722532935,The Alchemist,"Coelho, Paulo",201310,405,2827.65,6.9819,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-03-16,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201311,651,3660.24,5.6225,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-03-16,9780722532935,The Alchemist,"Coelho, Paulo",201311,336,2317.99,6.8988,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-03-23,9780722532935,The Alchemist,"Coelho, Paulo",201312,329,2307.08,7.0124,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-03-23,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201312,710,3951.56,5.5656,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-03-30,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201313,889,4875.87,5.4847,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-03-30,9780722532935,The Alchemist,"Coelho, Paulo",201313,360,2518.48,6.9958,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-04-06,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201314,583,3183.66,5.4608,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-04-06,9780722532935,The Alchemist,"Coelho, Paulo",201314,387,2675.22,6.9127,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-04-13,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201315,716,4001.53,5.5887,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-04-13,9780722532935,The Alchemist,"Coelho, Paulo",201315,319,2233.84,7.0026,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-04-20,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201316,666,3607.99,5.4174,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-04-20,9780722532935,The Alchemist,"Coelho, Paulo",201316,250,1772.81,7.0912,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2013-04-27,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201317,723,3905.04,5.4012,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2013-04-27,9780722532935,The Alchemist,"Coelho, Paulo",201317,350,2511.76,7.1765,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
